city,positionName,salaryMax,keyword,companySize,companyName,positionType,positionAdvantage,salaryMin,companyLabelList,formatCreatetime
上海,Java,15,java,500-2000人,泛微,后端开发,半年调薪 工作日免费三餐 国外旅游,10,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
上海,Java,18,java,500-2000人,泛微,后端开发,美味三餐，半年调薪，奖金多多,12,"技能培训,带薪年假,绩效奖金,岗位晋升",1天前发布
北京,Java工程师,25,java,500-2000人,乐富支付,后端开发,公司发展快，空间大，互联网金融，移动端,15,"专项奖金,绩效奖金,年度旅游,定期体检",3天前发布
北京,Java工程师（高级）,25,java,500-2000人,乐富支付,后端开发,公司发展快，空间大，互联网金融，移动端,15,"专项奖金,绩效奖金,年度旅游,定期体检",2016-05-23
北京,Java,25,java,15-50人,印享未来,后端开发,五险一金，工作快乐,15,"年终分红,股票期权",21:20发布
西安,Java开发工程师,15,java,150-500人,东方金科,后端开发,五险一金、补充医疗、假期超多、领导Nice,8,"技能培训,年底双薪,节日礼物,绩效奖金",20:20发布
上海,Java,12,java,500-2000人,天正软件,后端开发,十四薪、旅游、定期体检、节日福利,8,"定期体检,年度旅游,午餐补助,带薪年假",3天前发布
南京,Java,12,java,500-2000人,华通,后端开发,五险一金 双休 带薪年假 节日福利,9,"节日礼物,免费班车,带薪年假,五险一金",2天前发布
深圳,Java,11,java,150-500人,博悦科创,后端开发,年底分红，平台好,6,"年底双薪,定期体检,绩效奖金,技能培训",2016-05-20
深圳,Java,11,java,150-500人,博悦科创,后端开发,付出就会有回报,6,"年底双薪,定期体检,绩效奖金,技能培训",2016-05-20
中山,Java,15,java,500-2000人,广州动心,后端开发,领导好，环境好，发展空间大，五险一金,8,"技能培训,年度旅游,岗位晋升,扁平管理",2016-05-24
上海,Java,30,java,50-150人,金扳手,后端开发,简单快乐 生日会 氛围好空间大,15,"节日礼物,BOSS帅,简单快乐,胡吃海喝",2016-05-23
海口,java工程师（文学方向、海口）,10,java,500-2000人,天涯社区,后端开发,工作有挑战、有创新,5,"五险一金,交通补助,带薪年假,节日礼物",2016-05-23
海口,java工程师（旅游方向、海口）,12,java,500-2000人,天涯社区,后端开发,薪酬诱惑大，有挑战,8,"五险一金,交通补助,带薪年假,节日礼物",2天前发布
福州,Java开发,12,java,150-500人,微浪科技,后端开发,老板nice 五险一金 体检 旅游,8,"绩效奖金,带薪年假,节日礼物,年度旅游",2016-05-23
上海,Java,20,java,500-2000人,泛微,后端开发,半年调薪 工作日免费三餐 国外旅游,15,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
上海,java,20,java,500-2000人,泛微,后端开发,半年调薪 免费三餐 国外旅游,15,"技能培训,带薪年假,绩效奖金,岗位晋升",2天前发布
北京,Java工程师（中级）,18,java,500-2000人,乐富支付,后端开发,有竞争力的薪酬、优秀的团队,10,"专项奖金,绩效奖金,年度旅游,定期体检",2016-05-24
